cellid,userid,freq_updates
004009000864,-9207676127654560000,2
031367002861,-9199080081971420000,5
010419002862,-9199080081971420000,3
000242004704,-9199080081971420000,2
030468000865,-9199080081971420000,2
050502000560,-9199080081971420000,2
034788002864,-9199080081971420000,2
010608000860,-9199080081971420000,2
000241004704,-9199080081971420000,2
027043000814,-9199080081971420000,1
031993002867,-9199080081971420000,1
012509002861,-9199080081971420000,1
000032000502,-9199080081971420000,1
017072000560,-9199080081971420000,1
030469000865,-9199080081971420000,1
010478002862,-9199080081971420000,1
010563004760,-9199080081971420000,1
000252004002,-9199080081971420000,1
002531004902,-9199080081971420000,1
033219002868,-9199080081971420000,1
010653004760,-9199080081971420000,1
047539000865,-9199080081971420000,1
058819002862,-9199080081971420000,1
000062004002,-9199080081971420000,1
018323004060,-9199080081971420000,1
018853004060,-9199080081971420000,1
000081004704,-9199080081971420000,1
000201004704,-9199080081971420000,1
008061001805,-9188754152438890000,1
002202004703,-9180296343047780000,2
020053003512,-9177512214108700000,21
022292003511,-9177512214108700000,8
033321003510,-9177512214108700000,2
020052003512,-9177512214108700000,2
030351003510,-9177512214108700000,1
000082002819,-9157721648093240000,10
030228002861,-9157721648093240000,8
014981002862,-9157721648093240000,2
065211002866,-9157721648093240000,2
046791002866,-9157721648093240000,2
037433002860,-9157721648093240000,2
000251002835,-9157721648093240000,2
002221001406,-9157721648093240000,2
048362002866,-9157721648093240000,1
000081002835,-9157721648093240000,1
014405004112,-9157721648093240000,1
036161002861,-9157721648093240000,1
020647002861,-9157721648093240000,1
041013002866,-9157721648093240000,1
000131002835,-9157721648093240000,1
004035002860,-9157721648093240000,1
000871002836,-9157721648093240000,1
047142002866,-9157721648093240000,1
030119002862,-9157721648093240000,1
003853002807,-9157721648093240000,1
041001002866,-9157721648093240000,1
012213004112,-9157721648093240000,1
005302002868,-9157721648093240000,1
047141002866,-9157721648093240000,1
001591000715,-9138933498512930000,6
015571000853,-9138933498512930000,3
025642000810,-9138933498512930000,2
031993002867,-9138933498512930000,2
004083000716,-9138933498512930000,2
025616000810,-9138933498512930000,1
005211002809,-9138933498512930000,1
000389000864,-9138933498512930000,1
000241002815,-9138933498512930000,1
034788002864,-9138933498512930000,1
001026000864,-9138933498512930000,1
007683000871,-9081377849122680000,24
023704000865,-9081377849122680000,10
