long,lat,amenity
-3.6046606,40.433807,police
-3.725533,40.3730351,fuel
-2.4749055,43.1840395,bus_station
-3.7982273,40.3936069,parking
-3.794909,40.3940642,parking
-3.783833,40.3982267,parking
-3.6361022,40.4631411,cinema
-3.6419199,40.4698065,parking_entrance
-3.641935,40.4691497,parking_entrance
-3.7068726,40.4227323,police
-3.7090201,40.4803072,parking_entrance
-3.7087786,40.4799249,parking_entrance
-3.6050336,40.4285357,pharmacy
-2.33825,42.1000902,restaurant
-4.0153181,40.4679802,fuel
-3.7045309,40.4078366,parking_entrance
2.5039244,39.6081537,parking
-3.7080895,40.4062324,parking
-4.0597198,40.4995198,fuel
-2.476844,43.1829678,post_box
-2.4752765,43.1837615,post_box
2.6863332,39.7316989,parking
2.6097484,39.7127928,fuel
-2.0649621,42.9071211,telephone
-2.0648492,42.9073785,post_box
-2.0651433,42.9068202,pharmacy
-2.0652947,42.9053781,pharmacy
-14.2188955,28.172458,toilets
-6.0310917,43.5582195,parking
2.1527659,41.3754206,parking
-5.1826315,43.3884212,fuel
-0.3818241,39.4709156,biergarten
-1.3324402,38.874944,restaurant
-3.7076494,40.478828,parking_entrance
-14.3068705,28.0730456,taxi
-14.3509609,28.0502419,fuel
-14.3588627,28.0485801,fuel
-3.877621,36.751116,bus_station
-3.6885284,36.7355638,bus_station
-3.5834305,36.7449726,bus_station
-3.422303,36.8990087,bus_station
-3.4241668,36.901005,place_of_worship
-3.4259691,36.9023914,fuel
-3.3569562,36.9608186,restaurant
-3.3586253,36.9611069,bus_station
-1.7809654,41.1931935,parking
3.4405571,39.6578587,telephone
3.4326982,39.7022353,post_box
3.4400523,39.6580563,pharmacy
3.4413675,39.6573686,toilets
3.4397336,39.6564323,recycling
3.4399232,39.6566102,telephone
3.4393849,39.6556257,parking
3.4316874,39.6496215,post_box
3.438369,39.6548273,telephone
3.438023,39.6584131,recycling
3.4387314,39.656531,post_box
3.4316874,39.6495769,telephone
3.4416473,39.6575033,first_aid
3.4653782,39.7132117,recycling
3.4386351,39.6565509,telephone
3.4429634,39.6580327,telephone
3.440604,39.6577713,post_box
3.4379914,39.6563454,police
3.4713735,39.7137973,recycling
3.4397529,39.6581614,parking
2.9261077,39.5270924,toilets
3.4111127,39.6678582,parking
3.4120245,39.6671303,parking
-3.7114792,40.4787084,pub
-3.7069843,40.4785121,pharmacy
-3.5461533,40.5882405,fuel
-3.706022,40.4740555,pharmacy
-3.5913986,41.2191552,fuel
-1.8720703,37.0444989,parking
-2.1092998,36.759811,parking
-13.5264258,28.9715504,ferry_terminal
-3.7077499,40.4726288,pharmacy
-3.7057207,40.4807994,pharmacy
-2.4707347,43.1862625,post_office
-2.4861144,43.173627,recycling
-2.385217,43.2497939,parking
-3.595403,40.4905966,parking_entrance
-3.595407,40.4916057,parking_entrance
-3.5954127,40.4926147,parking_entrance
-3.5954254,40.4936276,parking_entrance
-8.685277,42.4460239,parking
-0.3645415,39.4785427,parking
-14.3623218,28.0486284,ferry_terminal
-14.2328589,28.152969,parking
2.1649718,41.3873414,parking_entrance
-3.7205175,37.1855391,hospital
-3.7181132,37.1865407,bank
-3.5842747,36.7402315,fuel
2.1585774,41.4024762,pharmacy
-3.7121272,37.1891408,recycling
2.1576071,41.4031182,pharmacy
2.1553222,41.4039458,pharmacy
2.1552449,41.4039844,telephone
2.1558892,41.4038867,recycling
-3.6391543,37.1977188,fuel
-3.6036339,37.1869361,post_box
-0.3638481,39.4736505,police
-3.6228425,37.1946846,pharmacy
-5.0612268,43.4568251,fuel
2.1675099,41.3751737,drinking_water
-3.6451679,37.1080391,atm
-0.3648781,39.4749557,pharmacy
-0.3631469,39.4779714,pharmacy
2.3031673,41.4839459,fuel
-3.6966263,40.463857,parking_entrance
-2.001187,42.3192975,fuel
2.1688341,41.375998,recycling
-3.6754942,40.4634167,pharmacy
-0.401208,39.5000897,fuel
-0.403113,39.453284,pharmacy
-0.3757888,39.4523619,pharmacy
-0.3778622,39.455346,pharmacy
-0.3730823,39.4505895,restaurant
-0.3727541,39.450343,pharmacy
-0.3736592,39.4534387,pharmacy
-0.3763717,39.4545302,school
-0.3485856,39.4492446,fuel
-0.4110352,39.4611044,parking
-0.3713975,39.4533383,pharmacy
-0.3687509,39.4644385,parking
-0.3647004,39.4670576,parking
-0.3720505,39.4520684,pharmacy
-0.4197233,39.5100627,parking
-0.3925277,39.4574659,pharmacy
-0.394851,39.4595356,school
-0.388077,39.4681963,police
-8.8868959,42.7838879,post_box
-7.6846753,43.7842362,parking
-2.4186942,43.2123343,parking
3.0773528,39.9047483,fuel
-3.6851481,40.4853974,restaurant
-3.6867724,40.4862102,telephone
-3.6893457,40.4854972,telephone
-3.6894541,40.4870972,telephone
-3.6868649,40.4843585,restaurant
-3.6870451,40.4844368,restaurant
-3.6872795,40.48457,telephone
-3.686596,40.4849747,pub
-3.6863802,40.4848128,pub
-3.6853639,40.4855053,pub
-3.6861772,40.4858621,pub
-3.6896178,40.4869442,post_office
-3.6871586,40.4835141,recycling
-3.6851768,40.4845181,telephone
-3.6847127,40.4850901,restaurant
-3.6854466,40.4850146,veterinary
-3.6895055,40.4870031,pub
-0.5150484,39.5553502,fuel
-0.4959348,39.5599862,fuel
-0.4869751,39.55559,fuel
-3.7165321,40.4485985,telephone
1.8814632,41.7730958,fuel
-3.6900511,40.4854671,recycling
-3.6882745,40.4838375,recycling
-3.6868709,40.4856031,recycling
-3.726419,40.4438557,telephone
-3.7273775,40.4438746,telephone
-3.7274502,40.4428794,recycling
-3.7278739,40.4469563,telephone
-5.6613849,41.9972847,fuel
-3.6931234,40.4858104,recycling
-3.6984087,40.4879887,bicycle_parking
-0.3484484,39.4796296,parking
-3.6911438,40.4074382,pharmacy
-3.6918554,40.4095754,bicycle_parking
-3.6980969,40.4116559,restaurant
-3.6978157,40.4114985,restaurant
-3.6972647,40.411611,telephone
-3.6954203,40.4107,pharmacy
-3.6962357,40.412595,telephone
-3.6963369,40.4123026,pub
-3.6940155,40.4126691,telephone
-3.6932368,40.4127071,telephone
-3.6956318,40.412794,pub
-3.6956377,40.4129231,pub
-3.6956588,40.4133801,restaurant
-3.6957228,40.413707,drinking_water
-3.6953007,40.4144967,recycling
-3.6970951,40.4159605,atm
-3.6973366,40.4168084,cafe
-3.69624,40.4183509,cafe
-3.693327,40.4189863,telephone
-3.6924236,40.4190368,telephone
-3.6926066,40.4186399,taxi
-3.6920792,40.4191619,atm
-0.3839202,39.4744368,fuel
-3.7019724,40.404793,telephone
-3.6049926,40.4295713,recycling
-3.6032645,40.4290342,recycling
-3.6032044,40.4290419,recycling
-3.6997001,40.4035405,recycling
-3.7009406,40.4042729,recycling
-3.6986488,40.4049547,restaurant
